rainfall_1h,rainfall_3h,rainfall_24h,humidity,elevation,slope,soil_moisture,river_distance,flood
31.8,78.9,167.3,53.9,2982.0,8.0,0.33,678.0,0
18.3,35.7,56.7,42.9,586.0,17.0,0.35,718.0,0
14.0,30.2,52.9,74.4,929.0,18.8,0.92,461.0,0
38.8,87.1,289.2,60.2,2866.0,24.0,0.68,1299.0,0
50.8,148.8,297.5,50.9,2887.0,42.0,0.17,174.0,0
47.7,144.4,350.6,59.4,564.0,39.6,0.22,288.0,0
12.0,26.7,73.6,43.0,340.0,7.8,0.24,902.0,0
19.5,58.5,193.8,97.0,735.0,9.4,0.67,407.0,0
16.8,50.5,90.0,74.9,2989.0,17.4,0.76,1320.0,0
21.6,61.9,155.8,88.9,786.0,14.5,0.87,255.0,0
44.3,88.8,240.8,65.4,1657.0,28.4,0.95,277.0,1
61.5,170.2,485.5,94.2,2591.0,40.8,0.28,1318.0,1
32.7,102.1,361.9,69.0,355.0,43.4,0.38,375.0,0
14.5,39.9,76.9,74.4,1932.0,30.1,0.32,436.0,0
24.3,55.1,193.8,69.5,1048.0,38.0,0.42,243.0,0
69.2,173.0,559.3,84.0,2628.0,24.6,0.92,194.0,1
26.7,72.3,208.8,74.0,1065.0,11.0,0.62,640.0,0
19.6,49.4,160.5,56.3,2154.0,24.6,0.76,77.0,0
21.0,41.3,104.5,48.7,2120.0,25.9,0.54,1269.0,0
32.6,72.9,134.5,76.4,898.0,33.9,0.13,906.0,1
12.4,36.2,114.6,69.4,394.0,11.5,0.16,127.0,0
16.5,49.6,139.4,45.8,1405.0,17.8,0.58,711.0,0
47.2,94.1,291.6,63.7,1081.0,17.7,0.75,554.0,0
31.9,100.0,234.6,70.9,2484.0,43.3,0.29,122.0,1
26.9,60.9,229.3,89.6,2461.0,21.1,0.75,191.0,1
48.8,133.2,395.4,44.6,1534.0,34.5,0.83,316.0,1
13.7,39.1,67.1,60.9,1938.0,34.3,0.47,721.0,0
19.2,56.3,147.8,89.4,1932.0,13.4,0.77,611.0,0
31.2,97.4,330.3,78.9,2533.0,26.6,0.46,456.0,0
30.4,68.0,237.2,57.4,1448.0,40.5,0.71,878.0,0
6.4,19.2,52.5,90.7,1044.0,22.4,0.79,851.0,0
17.7,35.1,131.3,69.6,1016.0,42.6,0.99,577.0,1
22.0,61.3,133.0,69.9,1748.0,11.2,0.41,928.0,0
33.7,95.6,241.5,98.6,1513.0,5.2,0.47,244.0,1
30.3,83.4,312.3,96.8,1488.0,40.3,0.25,1278.0,0
23.6,50.8,190.0,61.5,546.0,38.5,0.28,573.0,0
3.2,9.7,31.2,48.4,2240.0,44.7,0.72,1037.0,0
24.5,49.9,181.9,59.5,877.0,31.2,0.93,474.0,0
26.2,49.1,84.5,41.8,832.0,42.3,0.46,148.0,0
109.5,307.0,1124.4,41.2,1414.0,37.6,0.26,469.0,1
21.5,52.9,121.8,63.7,915.0,38.3,0.36,278.0,0
31.3,93.6,182.1,96.5,1876.0,26.5,0.51,717.0,0
54.3,126.9,266.3,92.3,1303.0,18.4,0.36,388.0,0
42.6,86.7,220.5,70.7,1512.0,42.2,0.31,1085.0,0
63.2,187.7,399.5,73.9,1750.0,20.6,0.76,680.0,1
6.5,16.7,38.4,40.4,850.0,25.2,0.11,692.0,0
10.3,21.3,39.1,52.9,721.0,21.2,0.59,147.0,0
15.6,43.7,97.9,41.5,2677.0,26.3,0.81,2491.0,0
5.4,13.6,39.7,85.3,1471.0,22.2,0.34,1106.0,0
26.4,69.7,181.6,48.7,1413.0,4.1,0.64,934.0,0
11.1,27.1,64.2,92.1,396.0,39.9,0.7,240.0,0
68.6,203.2,683.8,78.6,1645.0,21.1,0.69,460.0,1
12.7,37.6,140.3,53.8,1796.0,27.3,0.5,88.0,0
19.3,53.8,182.5,49.5,1809.0,8.0,0.41,464.0,0
44.3,86.3,201.0,77.7,2209.0,2.1,0.85,95.0,0
7.9,23.6,79.3,94.1,779.0,12.5,0.78,483.0,0
5.0,13.7,25.8,83.1,981.0,32.3,0.39,628.0,0
28.7,79.8,145.7,60.9,2489.0,6.3,0.19,297.0,1
30.4,70.1,165.8,75.2,2857.0,41.1,0.16,414.0,0
43.4,131.6,463.0,58.6,667.0,11.2,0.18,1251.0,0
36.5,102.9,217.6,99.9,1644.0,10.8,0.62,69.0,0
31.2,61.1,101.3,84.9,878.0,9.8,0.15,941.0,0
14.0,33.2,60.8,76.9,462.0,2.6,0.4,112.0,0
29.8,90.5,330.2,65.4,1179.0,35.2,0.78,22.0,1
31.1,58.1,179.1,77.1,688.0,39.6,0.36,123.0,0
13.6,42.7,91.0,60.5,2217.0,28.4,0.79,869.0,0
81.3,223.7,646.2,41.7,1741.0,10.1,0.77,312.0,1
35.3,94.9,267.4,63.7,688.0,14.3,0.32,1236.0,0
10.5,22.8,71.6,95.8,325.0,22.5,0.76,446.0,0
43.5,93.6,194.9,77.6,2482.0,43.0,0.77,20.0,1
48.7,151.8,555.9,45.0,776.0,12.6,0.46,757.0,0
33.9,75.1,170.8,93.1,1937.0,33.5,0.29,70.0,0
20.5,59.3,191.8,56.1,1210.0,20.9,0.57,935.0,0
13.1,30.7,47.3,54.6,1881.0,14.8,0.93,110.0,0
23.5,47.0,114.2,57.8,1152.0,21.6,0.68,254.0,0
32.2,58.5,139.1,74.6,535.0,5.1,0.26,859.0,0
25.3,64.7,184.9,72.7,902.0,36.3,0.71,1850.0,0
65.0,205.9,346.3,69.5,808.0,12.5,0.48,279.0,0
39.2,90.8,315.5,83.1,1456.0,33.2,0.63,1061.0,0
11.8,27.1,55.5,59.0,2077.0,4.9,0.76,127.0,0
9.5,21.6,69.0,86.9,1012.0,43.1,0.56,988.0,0
35.6,89.9,315.4,50.5,333.0,10.3,0.83,643.0,0
20.9,50.6,146.9,87.0,1701.0,40.0,0.75,128.0,1
41.5,125.9,422.1,79.8,1936.0,36.8,0.65,216.0,0
35.3,88.6,279.5,81.0,2900.0,43.6,0.24,85.0,0
23.6,59.3,141.6,68.9,1892.0,22.5,0.85,290.0,0
11.9,23.8,83.7,80.0,1572.0,33.3,0.94,137.0,1
5.6,17.9,40.1,44.8,1848.0,17.9,0.22,620.0,0
29.4,63.2,184.9,91.1,2805.0,9.9,0.54,3122.0,0
7.8,14.8,49.9,43.3,2537.0,21.1,0.33,20.0,0
11.5,31.4,76.7,48.9,1172.0,9.1,0.78,467.0,0
28.1,74.0,167.0,74.6,941.0,44.2,0.75,512.0,1
26.1,62.3,164.9,84.4,1009.0,6.1,0.23,1474.0,0
8.8,20.9,74.2,44.6,1662.0,27.3,0.89,423.0,0
52.4,151.9,580.9,95.2,2309.0,28.9,0.26,471.0,0
51.5,106.7,305.5,98.4,1659.0,25.1,0.82,383.0,1
36.4,107.2,338.1,76.4,483.0,30.5,0.51,188.0,0
36.3,98.4,369.7,68.9,2254.0,7.0,0.4,35.0,0
36.4,86.8,151.5,84.5,2476.0,25.9,0.24,315.0,0
48.4,118.2,245.8,59.7,1082.0,14.4,0.25,32.0,0
39.9,86.1,281.6,69.6,2093.0,42.4,0.7,480.0,1
12.8,36.6,130.2,95.0,1452.0,34.8,0.6,220.0,0
20.7,52.1,189.8,97.3,2701.0,43.8,0.21,458.0,0
101.9,229.3,581.9,95.6,2582.0,3.6,0.2,87.0,0
3.5,9.1,15.8,55.7,1719.0,14.3,0.17,1619.0,0
16.9,54.1,140.3,53.9,2167.0,10.4,0.77,1350.0,0
52.6,126.7,263.1,57.9,2685.0,2.5,0.74,126.0,0
13.5,41.9,93.2,66.5,1638.0,12.4,0.15,252.0,0
40.6,92.7,318.0,58.9,1146.0,31.2,0.6,570.0,0
25.9,48.6,82.1,62.5,2335.0,11.9,0.18,60.0,0
14.4,30.0,107.1,77.2,894.0,23.9,0.91,263.0,0
2.7,6.5,16.6,85.8,1349.0,40.2,0.92,173.0,1
28.8,60.7,181.4,84.1,2637.0,31.8,0.73,1483.0,0
12.6,22.6,39.0,88.9,2256.0,19.0,0.93,1148.0,0
22.8,70.4,164.9,41.9,1390.0,18.0,0.83,520.0,0
36.1,107.7,185.6,42.9,880.0,21.6,0.85,441.0,0
45.8,130.0,507.6,87.4,1261.0,9.6,0.61,1602.0,0
16.9,34.4,120.9,72.0,1067.0,29.3,0.38,1617.0,0
14.4,28.3,74.9,74.7,775.0,17.7,0.3,2091.0,0
7.7,14.5,29.9,43.2,2307.0,38.7,0.39,80.0,1
47.3,133.1,510.4,55.3,981.0,34.5,0.67,105.0,0
92.7,287.5,678.9,78.3,1526.0,28.3,0.26,678.0,1
50.8,122.1,232.2,91.6,1342.0,17.7,0.33,468.0,0
58.4,114.9,334.2,95.0,2952.0,11.0,0.52,20.0,0
13.6,34.4,132.6,70.0,1356.0,35.4,0.31,38.0,0
34.6,79.2,119.6,72.7,516.0,22.9,0.63,1314.0,0
43.2,100.4,210.4,90.0,543.0,11.7,0.93,1219.0,0
9.9,26.6,102.1,72.3,1895.0,10.4,0.77,265.0,0
71.8,201.5,388.4,71.0,1918.0,9.1,0.7,1330.0,0
6.3,12.3,21.9,94.3,1431.0,35.4,0.62,540.0,0
64.6,119.5,349.5,87.4,1466.0,11.8,0.54,984.0,0
6.2,19.9,72.7,94.5,446.0,24.6,0.27,335.0,0
10.4,22.1,59.6,53.1,1695.0,21.4,0.91,72.0,0
35.1,65.7,262.1,71.5,1663.0,26.9,0.32,341.0,0
26.4,54.5,174.3,90.5,704.0,39.7,0.18,367.0,0
18.3,33.9,57.1,46.7,580.0,39.3,0.78,480.0,0
70.0,164.4,654.7,87.7,634.0,21.4,0.26,67.0,0
7.9,23.0,58.0,51.0,573.0,2.7,0.43,2854.0,0
22.2,50.5,112.1,88.5,1946.0,20.3,0.13,168.0,0
38.2,92.5,267.9,76.7,831.0,28.1,0.22,133.0,0
30.8,84.7,191.5,51.6,979.0,26.0,0.26,449.0,1
14.8,37.1,63.7,68.4,769.0,30.0,0.15,462.0,0
15.2,45.8,68.9,80.9,2886.0,8.6,0.69,348.0,0
45.3,136.5,358.3,78.0,2607.0,29.8,0.85,887.0,1
46.8,84.9,304.8,65.6,922.0,9.9,0.44,436.0,0
31.4,90.8,266.2,94.0,1184.0,34.3,0.89,564.0,1
12.1,29.7,118.6,71.2,867.0,16.6,0.29,772.0,0
15.6,49.8,110.5,70.4,1628.0,32.5,0.39,20.0,0
24.6,60.9,134.1,43.7,353.0,4.1,0.24,507.0,0
27.3,87.0,165.2,95.3,2113.0,19.5,0.66,1294.0,0
37.2,106.1,202.8,50.6,1713.0,32.3,0.48,20.0,0
21.3,45.7,101.2,71.7,2726.0,11.8,0.65,312.0,0
44.6,114.0,396.9,88.2,744.0,36.2,0.79,1564.0,1
44.3,141.3,531.7,52.9,2471.0,29.1,0.59,261.0,1
59.8,179.3,706.1,71.6,2438.0,27.3,0.66,368.0,0
25.4,49.2,102.4,54.4,643.0,17.2,0.94,2395.0,1
31.8,88.7,328.6,85.6,1376.0,22.7,0.37,133.0,0
22.6,51.5,119.6,73.9,759.0,27.7,0.42,40.0,0
12.3,22.2,39.6,91.4,988.0,22.3,0.75,1177.0,0
91.4,216.0,793.9,93.7,1011.0,32.0,0.65,1217.0,1
54.8,116.7,360.5,78.9,1802.0,20.6,0.26,383.0,0
43.7,128.7,246.0,83.5,1411.0,10.7,0.44,433.0,0
24.8,56.3,144.9,73.0,2859.0,11.2,0.52,1084.0,0
11.3,33.5,74.4,63.1,641.0,2.2,0.48,805.0,0
49.0,88.3,295.1,78.9,2929.0,14.9,0.26,185.0,0
22.3,49.7,130.8,94.5,923.0,34.2,0.93,20.0,1
33.9,72.4,287.7,65.0,2387.0,36.1,0.79,392.0,1
15.6,33.2,54.3,58.9,1215.0,10.7,0.53,1175.0,0
30.1,57.0,136.0,63.3,686.0,43.2,0.71,1357.0,0
16.4,33.8,91.5,66.1,2616.0,23.6,0.91,1877.0,1
16.9,43.7,120.4,44.4,1134.0,41.4,0.22,1270.0,0
29.8,65.7,150.5,69.9,2079.0,32.4,0.33,521.0,0
6.1,14.6,48.6,69.7,1829.0,33.1,0.59,353.0,0
6.4,15.0,55.3,75.3,1574.0,5.7,0.82,895.0,1
13.5,40.9,157.3,61.8,1639.0,11.5,0.13,808.0,0
21.1,64.7,227.2,76.8,2277.0,2.4,0.99,464.0,0
45.6,113.4,411.4,92.7,537.0,32.8,0.51,55.0,1
22.0,49.8,143.3,97.3,2104.0,16.8,0.42,1563.0,0
24.6,48.0,171.3,75.0,2719.0,35.8,0.36,365.0,0
19.8,62.1,140.3,42.6,456.0,16.6,0.26,271.0,1
31.8,59.9,149.5,98.2,680.0,37.2,0.81,596.0,0
12.2,27.0,61.8,82.4,2235.0,7.6,0.96,672.0,0
23.0,50.9,135.8,60.2,1481.0,9.5,0.47,142.0,0
33.6,75.6,167.3,48.8,1390.0,16.7,0.96,1088.0,0
29.6,60.1,234.5,48.6,670.0,19.6,0.84,205.0,0
25.2,73.1,166.9,50.1,1668.0,17.0,0.53,124.0,0
25.5,50.2,87.7,42.7,642.0,34.8,0.71,313.0,0
35.9,96.6,272.2,94.1,1587.0,6.2,0.49,787.0,0
94.2,185.8,305.3,72.4,2362.0,17.1,0.6,2019.0,0
12.9,24.5,43.5,82.0,997.0,38.0,0.15,994.0,0
95.9,294.7,603.7,89.7,1598.0,4.9,0.73,1692.0,1
12.4,25.6,68.1,87.5,2978.0,42.5,0.15,91.0,0
2.3,6.8,17.5,93.0,2154.0,44.4,0.84,44.0,1
16.1,41.4,144.7,98.0,2572.0,5.8,0.84,489.0,0
32.2,61.5,206.0,66.3,1420.0,14.5,0.31,206.0,0
81.8,256.6,658.3,97.0,2373.0,18.0,0.39,1056.0,1
11.3,24.3,56.7,83.4,409.0,35.4,0.53,669.0,1
35.8,107.5,246.3,44.2,632.0,27.6,0.64,2119.0,0
7.2,14.6,50.1,80.9,848.0,29.7,0.36,176.0,1
79.9,239.3,390.1,81.2,1385.0,34.6,0.63,399.0,1
55.5,100.9,154.6,94.4,2584.0,7.1,0.37,417.0,0
17.0,42.7,149.0,62.4,1235.0,37.8,0.15,164.0,0
61.5,176.8,476.1,75.1,2067.0,32.3,0.1,535.0,1
22.8,71.0,129.8,40.7,2215.0,26.8,0.19,351.0,0
57.4,176.5,368.8,59.9,1883.0,40.3,0.81,355.0,1
25.1,74.0,283.5,43.7,1265.0,32.1,0.97,270.0,0
25.9,78.9,287.8,71.3,1858.0,10.7,0.48,20.0,0
17.3,35.9,117.5,89.0,1224.0,20.5,0.56,443.0,0
39.1,85.9,232.5,52.4,526.0,23.2,0.23,245.0,0
27.4,60.4,169.2,71.6,2981.0,4.4,0.6,20.0,0
36.3,84.6,333.2,52.2,643.0,43.0,0.23,221.0,0
5.5,12.9,50.7,47.2,495.0,7.5,0.65,196.0,0
58.8,150.7,307.1,70.7,2672.0,32.0,0.94,300.0,1
68.7,139.0,490.3,44.7,1115.0,23.8,0.28,85.0,0
27.3,75.6,150.6,75.2,2056.0,3.1,0.79,425.0,0
89.9,182.9,372.0,41.9,1188.0,41.8,0.12,707.0,0
76.7,171.4,546.9,46.4,1357.0,38.6,0.44,597.0,1
39.7,99.4,249.8,73.0,1008.0,24.5,0.2,977.0,0
62.0,180.7,691.7,75.5,1226.0,11.8,0.42,361.0,0
51.6,146.3,252.0,41.7,1409.0,7.2,0.26,439.0,0
4.1,11.0,30.6,74.4,2245.0,17.6,0.44,998.0,0
20.1,40.6,154.3,90.3,1681.0,13.0,0.48,335.0,0
41.6,106.8,401.6,83.3,2848.0,23.8,0.37,726.0,0
71.7,137.8,260.5,47.9,413.0,43.6,0.69,342.0,0
6.7,15.5,37.5,75.5,1658.0,26.7,0.93,324.0,0
4.4,10.5,31.9,80.3,1877.0,40.3,0.46,857.0,0
23.9,44.4,84.3,42.2,2785.0,30.0,0.27,115.0,0
2.5,5.5,21.7,91.3,433.0,22.4,0.34,248.0,0
23.3,73.2,277.0,94.4,1848.0,38.7,0.87,152.0,1
32.8,102.8,197.1,91.0,2605.0,22.3,0.61,267.0,0
10.9,24.9,44.9,89.5,953.0,39.4,0.51,157.0,0
23.8,44.3,75.9,84.7,2666.0,14.5,0.23,520.0,0
48.4,99.3,374.8,78.0,351.0,7.5,0.5,960.0,0
16.1,37.8,74.9,80.7,2278.0,38.8,0.35,927.0,0
12.6,39.3,99.9,88.4,2819.0,27.3,0.95,272.0,0
23.0,45.9,120.4,79.7,2074.0,40.2,0.9,2693.0,1
9.8,28.2,84.6,59.7,1485.0,42.3,0.18,541.0,0
85.6,167.1,280.7,62.6,421.0,4.3,0.56,306.0,1
25.7,81.5,168.5,93.8,2784.0,23.5,0.3,1083.0,0
13.8,32.1,122.9,41.0,1570.0,18.1,0.47,785.0,0
29.4,84.8,319.6,81.9,378.0,28.9,0.89,830.0,1
22.9,52.2,180.2,97.3,2163.0,36.1,0.57,131.0,0
21.0,56.1,86.9,82.4,1601.0,14.1,0.4,379.0,0
16.1,33.2,77.0,99.6,636.0,25.9,0.29,1188.0,0
15.4,30.9,94.9,81.3,879.0,32.5,0.82,421.0,0
5.6,17.6,38.4,42.1,474.0,7.8,0.66,690.0,0
61.9,191.0,720.7,89.6,1851.0,37.0,0.52,532.0,1
37.9,115.3,355.8,57.1,1979.0,28.1,0.3,1108.0,0
31.5,84.3,141.7,66.8,1666.0,42.8,0.4,201.0,1
22.6,66.3,250.0,58.7,2506.0,16.6,0.96,514.0,0
10.7,20.3,78.9,56.1,2625.0,6.7,0.57,79.0,0
13.0,29.6,50.1,65.9,1962.0,23.8,0.46,703.0,0
6.3,14.2,40.2,62.7,334.0,5.7,0.57,790.0,1
14.5,38.9,87.8,78.0,2177.0,43.7,0.8,26.0,0
9.4,21.5,53.4,88.8,1429.0,3.7,0.41,676.0,0
74.0,148.5,289.5,57.8,1827.0,34.4,0.26,321.0,0
46.3,121.9,359.0,52.8,2053.0,24.6,0.63,79.0,0
26.5,78.0,303.8,80.0,1246.0,17.9,0.7,327.0,1
11.8,27.4,75.7,80.2,2776.0,4.8,0.74,130.0,0
9.8,19.5,33.3,94.1,662.0,28.8,0.89,322.0,0
21.5,44.6,136.0,41.0,2113.0,27.2,0.43,291.0,1
47.6,101.4,238.4,91.2,312.0,14.1,0.17,805.0,0
6.5,14.5,52.7,71.3,2797.0,41.1,0.96,893.0,1
37.6,101.4,262.3,77.3,604.0,15.1,0.49,560.0,0
14.4,38.0,75.4,45.5,556.0,21.3,0.66,20.0,0
16.7,46.3,91.7,66.0,1199.0,25.4,0.7,1604.0,0
26.0,59.9,204.9,53.6,1309.0,6.3,0.59,695.0,0
12.1,35.8,77.4,55.3,879.0,42.1,0.28,21.0,0
20.7,43.1,147.2,70.2,1880.0,18.1,0.78,1025.0,0
11.2,27.6,55.5,88.7,1496.0,5.5,0.82,134.0,1
15.4,45.0,103.7,84.6,392.0,18.7,0.6,519.0,0
42.7,87.6,233.2,75.5,1163.0,27.8,0.54,377.0,0
27.0,52.7,203.3,72.4,2488.0,24.1,0.2,327.0,0
42.6,129.2,494.9,65.6,2162.0,31.9,0.18,1323.0,0
14.2,32.5,65.5,98.4,2257.0,4.4,0.41,345.0,0
37.8,104.1,249.4,73.6,2185.0,14.2,0.38,47.0,0
4.9,8.9,16.8,55.2,1140.0,37.2,0.96,1758.0,0
25.9,71.8,199.1,53.8,569.0,5.4,0.81,1519.0,0
39.5,88.6,235.0,76.7,1036.0,38.8,0.69,692.0,1
4.7,8.7,32.8,71.4,2546.0,6.0,0.57,379.0,0
14.4,38.2,146.0,40.5,2947.0,37.9,0.25,58.0,0
25.9,55.4,136.3,89.8,1633.0,17.5,0.98,939.0,0
50.0,117.0,319.5,82.2,326.0,28.3,0.44,47.0,0
15.4,29.5,110.3,79.7,678.0,8.6,0.2,43.0,0
36.7,73.7,259.1,44.1,1170.0,4.8,0.54,463.0,0
64.6,143.2,216.1,61.7,1862.0,11.3,0.89,105.0,1
37.9,73.0,168.0,96.1,503.0,7.5,0.9,20.0,0
21.3,65.4,167.1,91.8,2847.0,15.4,0.11,330.0,0
32.9,59.5,123.4,57.1,1286.0,24.1,0.9,89.0,0
15.0,37.2,74.4,49.4,2764.0,27.3,0.34,105.0,0
26.7,52.7,84.0,66.9,2407.0,36.0,0.14,48.0,0
22.1,49.3,153.3,61.3,2340.0,30.2,0.86,138.0,0
32.1,99.5,214.5,80.9,1938.0,28.2,0.88,754.0,0
17.8,36.2,59.0,98.0,1992.0,19.7,0.64,993.0,0
33.4,105.4,219.0,61.8,2023.0,22.4,0.62,361.0,0
17.7,37.0,129.5,43.7,1998.0,19.8,0.83,424.0,0
45.9,130.4,473.2,93.9,1795.0,38.2,0.81,20.0,1
19.2,49.3,133.4,42.3,2963.0,11.9,0.9,43.0,0
2.7,8.1,20.5,97.2,2277.0,2.2,0.6,179.0,0
10.1,26.1,102.8,79.9,2398.0,30.0,0.97,471.0,0
25.4,64.6,129.3,96.5,2656.0,10.7,1.0,807.0,0
73.5,152.5,310.9,52.0,882.0,40.3,0.2,557.0,0
44.7,91.0,202.8,42.4,526.0,38.9,0.86,299.0,0
2.0,6.1,11.8,69.3,1604.0,5.3,0.55,76.0,0
5.9,13.3,32.7,67.0,1688.0,6.6,0.45,911.0,0
54.3,126.1,476.3,59.9,2539.0,23.3,0.65,271.0,1
39.4,112.7,342.5,97.5,1498.0,28.2,0.15,799.0,0
99.8,227.0,574.2,89.4,1841.0,13.8,0.56,432.0,0
17.1,53.6,205.7,79.7,1723.0,32.8,0.88,805.0,0
11.9,33.7,54.6,49.8,403.0,27.6,0.29,1427.0,0
26.4,69.6,141.1,84.1,1961.0,16.0,0.48,1523.0,1
16.8,51.1,148.9,83.6,2536.0,3.1,0.95,460.0,0
51.0,95.3,289.5,65.5,725.0,34.3,0.49,430.0,1
16.4,35.4,56.5,95.5,1905.0,11.2,0.42,185.0,0
20.1,49.3,123.7,50.0,1903.0,37.9,0.5,1647.0,0
10.4,22.1,69.0,56.0,743.0,20.1,0.57,367.0,0
42.7,121.4,393.8,43.8,633.0,26.8,0.67,82.0,0
11.1,34.1,105.6,87.7,2946.0,39.5,0.82,340.0,1
33.9,81.1,186.7,77.3,1363.0,39.1,0.51,82.0,0
81.8,186.4,323.2,58.9,914.0,18.0,0.84,419.0,0
4.0,12.4,31.9,49.8,763.0,11.0,0.58,494.0,0
66.6,161.4,294.0,42.4,2103.0,35.3,0.4,247.0,0
30.8,76.6,296.3,50.0,1946.0,20.6,0.69,45.0,0
8.9,20.5,55.0,67.2,2038.0,10.3,0.75,1724.0,0
27.2,83.5,191.5,54.8,538.0,40.9,0.6,891.0,0
41.9,108.7,371.2,55.5,2713.0,10.5,0.15,1095.0,0
12.6,36.1,99.2,92.5,1351.0,3.1,0.25,274.0,0
35.3,103.6,235.7,70.9,1146.0,2.9,0.36,858.0,0
70.3,160.1,565.3,83.8,1548.0,28.8,0.35,399.0,0
16.3,39.4,144.4,42.1,1353.0,30.5,0.71,135.0,0
10.3,30.8,98.1,61.9,2632.0,15.4,0.12,80.0,0
22.6,52.3,84.5,68.8,2809.0,15.8,0.78,254.0,0
26.1,76.0,221.5,51.2,1119.0,16.6,0.34,89.0,0
52.7,164.4,560.3,47.2,2633.0,31.2,0.38,3815.0,0
22.1,59.0,108.6,92.2,2410.0,4.5,0.58,30.0,0
17.6,50.0,103.6,96.4,2813.0,42.0,0.29,349.0,0
10.1,29.5,109.3,44.7,964.0,11.6,0.9,361.0,0
4.7,14.0,21.7,60.9,1858.0,45.0,0.18,215.0,0
7.4,17.5,59.0,97.5,1041.0,9.4,0.5,508.0,0
7.4,13.8,37.0,45.0,2525.0,35.2,0.86,97.0,0
20.3,48.0,125.5,78.6,314.0,11.6,0.65,919.0,0
5.7,15.7,23.8,98.3,1825.0,5.5,0.36,242.0,0
24.0,58.2,206.7,98.7,1216.0,39.6,0.48,537.0,0
80.6,229.6,551.0,68.3,1171.0,38.9,0.74,755.0,1
53.8,123.7,352.7,49.8,2041.0,19.4,0.98,1319.0,0
20.1,54.2,173.0,52.1,2599.0,32.2,0.9,1084.0,0
115.3,237.6,773.7,93.4,1945.0,26.0,0.41,562.0,1
26.2,74.5,290.0,94.7,2604.0,38.7,1.0,295.0,1
29.0,74.4,210.6,76.5,1014.0,15.5,0.1,420.0,0
22.3,46.5,116.3,86.0,1703.0,24.5,0.12,879.0,0
24.4,53.8,209.1,84.4,1516.0,22.9,0.84,1260.0,0
15.9,45.2,140.5,79.7,331.0,17.2,0.28,66.0,0
20.4,50.5,113.3,89.6,1803.0,40.3,0.15,292.0,0
66.9,140.7,255.4,81.1,2086.0,9.1,0.31,898.0,1
57.7,182.1,656.7,72.0,1898.0,8.4,0.48,339.0,0
2.5,7.0,16.9,54.2,2288.0,26.8,0.76,242.0,1
6.4,20.3,63.8,84.6,1843.0,30.3,0.66,318.0,0
12.8,30.6,81.9,68.4,480.0,10.4,0.31,554.0,0
47.8,118.0,235.6,57.7,614.0,18.8,0.55,5000.0,0
58.6,179.1,538.1,88.1,1910.0,42.7,0.93,408.0,1
41.7,105.8,174.8,81.8,1042.0,12.6,0.83,140.0,0
8.9,24.8,62.8,96.2,515.0,30.7,0.39,107.0,0
16.2,34.8,99.7,49.9,1460.0,33.8,0.98,26.0,1
35.7,86.6,224.4,79.0,1797.0,21.3,0.74,491.0,1
20.6,40.7,137.2,54.7,1188.0,42.3,0.16,472.0,0
18.4,38.5,137.3,94.2,2245.0,33.7,0.13,138.0,0
18.6,33.6,115.1,46.0,2038.0,21.7,0.25,713.0,0
54.8,101.7,162.5,79.4,1199.0,26.5,0.76,811.0,0
